nct_id,brief_title,search_condition,conditions,sponsor,sponsor_class,enrollment_count,num_arms,total_sites,num_countries,start_date,completion_date,has_participant_flow,total_started,total_completed,total_discontinued,dropout_rate,discontinuation_reasons,top_dropout_reason,top_dropout_reason_count,num_periods
NCT00359762,Exenatide Versus Glimepiride in Patients With Type 2 Diabetes,diabetes type 2,Type 2 Diabetes Mellitus,AstraZeneca,INDUSTRY,1029,2,114,14,2006-09,2011-03,True,1029,0,426,100.0,Subject Decision (155); Adverse Event (83); Physician Decision (69); Protocol Violation (45); Lack of Efficacy (40); Lost to follow up (14); Entry Criteria Not Met (14); Death (6),Subject Decision,155.0,3
NCT01335399,"Phase III Study of Lenalidomide and Dexamethasone With or Without Elotuzumab to Treat Newly Diagnosed, Previously Untreated Multiple Myeloma",cardiovascular disease,Multiple Myeloma,Bristol-Myers Squibb,INDUSTRY,748,2,235,20,2011-08-04,2021-09-03,True,748,0,748,100.0,Disease progression (262); Adverse event unrelated to study drug (184); Study drug toxicity (116); Other reasons (60); Participant request to discontinue (53); Administrative reasons by Sponsor (24); Consent withdrawal (20); Death (13); Poor/Non-compliance (7); Lost to Follow-up (4); Maximum clinical benefit (2); No longer meet study criteria (2); No longer meeting study criteria (1),Disease progression,262.0,2
NCT03868124,Clinical Study Comparing Two Models of a Travoprost Intraocular Implant,hypertension,"Glaucoma, Open-Angle; Ocular Hypertension",Glaukos Corporation,INDUSTRY,560,3,1,1,2018-09-17,2024-06-19,True,560,0,560,100.0,Ongoing in study (539); Withdrawal by Subject (5); Lost to Follow-up (4); Death (4); Adverse Event (3); Explanted (3); Physician Decision (2),Ongoing in study,539.0,1
NCT00424047,A Study of CC-5013 Plus Dexamethasone Versus Dexamethasone Alone in Previously Treated Subjects With Multiple Myeloma,cardiovascular disease,Multiple Myeloma,Celgene,INDUSTRY,351,2,69,15,2003-01-01,2013-11-12,True,351,0,629,100.0,Progression of disease (409); Adverse Event (65); Withdrawal by Subject (65); Death (44); Other (28); Progression of Disease (10); Lack of therapeutic effect (4); Lack of Efficacy (4),Progression of disease,409.0,3
NCT00179647,Expanded Access Program:Lenalidomide With or Without Dexamethasone In Previously Treated Subjects With Multiple Myeloma,cardiovascular disease,Multiple Myeloma,Celgene Corporation,INDUSTRY,1913,1,69,2,2005-09,2009-04,True,1913,0,1913,100.0,Other (960); Lack of Efficacy (478); Adverse Event (294); Death (94); Withdrawal by Subject (83); Lost to Follow-up (4),Other,960.0,1
NCT02136134,Addition of Daratumumab to Combination of Bortezomib and Dexamethasone in Participants With Relapsed or Refractory Multiple Myeloma,cardiovascular disease,Multiple Myeloma,"Janssen Research & Development, LLC",INDUSTRY,498,2,105,15,2014-08-15,2024-01-10,True,498,0,498,100.0,Death (318); Uspecified (145); Withdrawal by Subject (29); Lost to Follow-up (6),Death,318.0,1
NCT03053440,A Study Comparing BGB-3111 and Ibrutinib in Participants With Waldenström's Macroglobulinemia (WM),cardiovascular disease,Waldenström's Macroglobulinemia,BeiGene,INDUSTRY,201,2,58,12,2017-01-25,2022-06-21,True,201,0,201,100.0,Enrolled in Long-term Extension Study (114); Sponsor's Decision to End the Study (33); Death (32); Withdrawal by Subject (17); Physician Decision (3); Lost to Follow-up (1); Participant Randomized but died before dosing (1),Enrolled in Long-term Extension Study,114.0,1
NCT01239797,Phase III Study of Lenalidomide and Dexamethasone With or Without Elotuzumab to Treat Relapsed or Refractory Multiple Myeloma,cardiovascular disease,Lymphoma; Multiple Myeloma,Bristol-Myers Squibb,INDUSTRY,646,2,216,23,2011-06-20,2021-04-21,True,646,0,646,100.0,Disease progression (370); Study drug toxicity (84); Adverse event unrelated to study drug (69); Participants request to discontinue study treatment (46); Other reasons (28); Participant withdrew consent (25); Administrative reason by sponsor (17); Participant no longer meets study criteria (4); Death (2); Poor/non-compliance (1),Disease progression,370.0,2
NCT01712789,Evaluation of Safety of Pomalidomide in Combination With Dexamethasone (Low Dose) in Patients With Refractory or Relapsed and Refractory Multiple Myeloma,cardiovascular disease,Multiple Myeloma,Celgene,INDUSTRY,682,1,112,20,2012-11-06,2019-12-11,True,682,0,682,100.0,Progressive Disease (504); Death (57); Adverse Event (52); Miscellaneous (31); Withdrawal by Subject (21); Transition to Commercial Treatment (8); Participants Did Not Receive Study Drug (6); Lack of Efficacy (2); Lost to Follow-up (1),Progressive Disease,504.0,1
NCT02990338,"Multinational Clinical Study Comparing Isatuximab, Pomalidomide, and Dexamethasone to Pomalidomide and Dexamethasone in Refractory or Relapsed and Refractory Multiple Myeloma Patients",cardiovascular disease,Plasma Cell Myeloma,Sanofi,INDUSTRY,307,2,111,24,2016-12-22,2023-11-01,True,307,0,307,100.0,Progressive disease (225); Adverse Event (45); Withdrawal by Subject (14); Physician's decision (8); Randomized and not treated (6); Treatment extension study (6); Poor compliance to protocol (1); Unconfirmed disease progression per investigator (1); Continue with therapy available commercially (1),Progressive disease,225.0,1
NCT02195479,A Study of Combination of Daratumumab and Velcade (Bortezomib) Melphalan-Prednisone (DVMP) Compared to Velcade Melphalan-Prednisone (VMP) in Participants With Previously Untreated Multiple Myeloma,cardiovascular disease,Multiple Myeloma,"Janssen Research & Development, LLC",INDUSTRY,706,2,160,24,2014-12-09,2024-08-07,True,706,0,706,100.0,Death (388); Discontinued at clinical cutoff (due to end of data collection period) (217); Withdrawal by Subject (60); Lost to Follow-up (33); Other (7); Physician Decision (1),Death,388.0,1
NCT01908816,An Open-label Extended Clinical Protocol of Ranibizumab to Evaluate Safety and Efficacy in Rare VEGF Driven Ocular Diseases.,cardiovascular disease,"Choroidal Neovascularization; Macular Edema; Glaucoma, Neovascular; Diabetic Retinopathy",Novartis Pharmaceuticals,INDUSTRY,270,1,39,1,2013-09-26,2016-01-08,True,270,0,270,100.0,Early termination (218); Unsatisfactory therapeutic effect (15); Lost to Follow-up (14); Death (9); Withdrawal by Subject (8); Protocol deviation (5); Subject's no longer requires study drug (1),Early termination,218.0,1
NCT03110562,"Bortezomib, Selinexor, and Dexamethasone in Patients With Multiple Myeloma",cardiovascular disease,Multiple Myeloma,Karyopharm Therapeutics Inc,INDUSTRY,402,4,157,21,2017-05-24,2022-05-12,True,402,0,482,100.0,Death (196); Participants withdrawn due to company goals (148); Withdrawal by Subject (94); Lost to Follow-up (22); Other (11); Disease Progression (3); Physician Decision (3); Randomized but never treated (3); Adverse Event (1); Protocol Deviation (1),Death,196.0,2
NCT02252172,"Study Comparing Daratumumab, Lenalidomide, and Dexamethasone With Lenalidomide and Dexamethasone in Participants With Previously Untreated Multiple Myeloma",cardiovascular disease,Multiple Myeloma,"Janssen Research & Development, LLC",INDUSTRY,737,2,206,13,2015-02-16,2024-10-02,True,737,0,737,100.0,Death (393); End of data collection (292); Withdrawal by Subject (35); Lost to Follow-up (15); Physician Decision (1); Site closure (1),Death,393.0,1
NCT02312258,A Study of Oral Ixazomib Maintenance Therapy in Participants With Newly Diagnosed Multiple Myeloma (NDMM) Not Treated With Stem Cell Transplantation (SCT),cardiovascular disease,Multiple Myeloma,Takeda,INDUSTRY,706,2,275,35,2015-04-09,2022-08-26,True,706,0,706,100.0,Death (296); Reason not Specified (266); Withdrawal by Patient (125); Lost to Follow-up (16); Missing (3),Death,296.0,1
NCT02755597,A Study Evaluating Venetoclax (ABT-199) in Multiple Myeloma Subjects Who Are Receiving Bortezomib and Dexamethasone as Standard Therapy,cardiovascular disease,Relapsed/Refractory Multiple Myeloma,AbbVie,INDUSTRY,291,2,97,16,2016-07-11,2022-08-15,True,291,0,291,100.0,"Death (114); Study terminated by Sponsor (114); Withdrew consent (38); Other, not specified (23); Lost to Follow-up (1); Participant missing reason for study discontinuation (1)",Death,114.0,1
NCT00056160,CC-5013 Plus Dexamethasone Versus Dexamethasone Alone in Previously Treated Subjects With Multiple Myeloma,cardiovascular disease,Multiple Myeloma,Celgene,INDUSTRY,353,2,49,2,2003-01-01,2008-10-01,True,353,0,453,100.0,Progression of disease (268); Adverse Event (98); Other (36); Withdrawal by Subject (27); Lack of Efficacy (11); Death (8); Transferred into expanded access study. (3); Transferred into RevAssist Program (2),Progression of disease,268.0,3
NCT00622336,"A Companion Study for Studies THAL-MM-003, CC-5013-MM-009, and CC-5013-MM-010 for Subjects With Multiple Myeloma",cardiovascular disease,Multiple Myeloma,Celgene,INDUSTRY,330,1,7,2,2003-04-01,2013-11-25,True,330,0,330,100.0,Progression of Disease (181); Other (49); Adverse Event (48); Lack of therapeutic effect (15); Death (14); Withdrawal by Subject (14); Progressive Disease (6); Lost to Follow-up (3),Progression of Disease,181.0,2
NCT02076009,"A Study Comparing Daratumumab, Lenalidomide, and Dexamethasone With Lenalidomide and Dexamethasone in Relapsed or Refractory Multiple Myeloma",cardiovascular disease,Multiple Myeloma,"Janssen Research & Development, LLC",INDUSTRY,569,2,145,18,2014-07-23,2024-11-21,True,569,0,569,100.0,Death (325); End of data collection (208); Withdrawal by Subject (28); Lost to Follow-up (6); Progressive Disease (1); Physician Decision (1),Death,325.0,1
NCT03277105,A Study of Subcutaneous Versus (vs.) Intravenous Administration of Daratumumab in Participants With Relapsed or Refractory Multiple Myeloma,cardiovascular disease,Multiple Myeloma,"Janssen Research & Development, LLC",INDUSTRY,522,2,146,18,2017-10-27,2024-01-12,True,522,0,522,100.0,Death (253); Other (243); Withdrawal by Subject (20); Lost to Follow-up (6),Death,253.0,1
NCT00103506,Study of DOXIL/CAELYX (Pegylated Liposomal Doxorubicin) and VELCADE (Bortezomib) or VELCADE Monotherapy for the Treatment of Relapsed Multiple Myeloma,cardiovascular disease,Multiple Myeloma,"Janssen Research & Development, LLC",INDUSTRY,646,2,108,17,2004-12,2014-06,True,646,0,646,100.0,Death (510); Study closed by sponsor (71); Withdrawal by Subject (39); Lost to Follow-up (26),Death,510.0,1
NCT01734928,"Safety and Efficacy of Pomalidomide, Bortezomib and Low-dose Dexamethasone in Subjects With Relapsed or Refractory Multiple Myeloma",cardiovascular disease,Multiple Myeloma,Celgene,INDUSTRY,559,2,321,22,2013-01-07,2022-05-13,True,559,0,559,100.0,Progressive Disease (332); Adverse Event (91); Withdrawal of Consent (47); Other Reasons (46); Death (30); Withdrew informed consent (4); Lost to Follow-up (3); progressive disease (2); Physician Decision (1); clinical progression (1); Randomization error (1); Pregnancy (1),Progressive Disease,332.0,2
NCT03472040,A Long Term Safety Study of BCX7353 in Hereditary Angioedema,cardiovascular disease,Hereditary Angioedema; HAE; Prophylaxis,BioCryst Pharmaceuticals,INDUSTRY,387,1,87,20,2018-02-16,2022-04-27,True,387,1,386,99.7,"Berotralstat Provided by alternative Means (i.e., Early Access Program or Commercially Available) (221); Perceived Lack of Efficacy (59); Withdrawal by Subject (33); Lab Abnormality or Adverse Event (AE) (32); Other - Not Otherwise Specified (NOS) (23); Subject Non-compliance (7); Intercurrent Illness/Medical Condition (5); Physician Decision (3); Subsequent Ineligibility (2); Discontinuation due to Rash (1)","Berotralstat Provided by alternative Means (i.e., Early Access Program or Commercially Available)",221.0,1
NCT02307513,"A Phase 3 Randomized, Double-blind Study to Evaluate the Efficacy and Safety of Apremilast (CC-10004) in Subjects With Active Behçet's Disease",cardiovascular disease,Behçet's Syndrome,Amgen,INDUSTRY,207,2,63,10,2014-12-30,2020-07-17,True,207,1,64,99.5,Withdrawal by Subject (23); Adverse Event (20); Lack of Efficacy (12); Lost to Follow-up (3); Protocol Violation (2); Non-Compliance with Study Drug (1); Miscellaneous (1); Pregnancy (1); Physician Decision (1),Withdrawal by Subject,23.0,3
NCT02104817,Outcomes Study to Assess STatin Residual Risk Reduction With EpaNova in HiGh CV Risk PatienTs With Hypertriglyceridemia,cardiovascular disease,Eligible Men or Women Considered High Risk for Atherosclerotic Cardiovascular Disease (CVD),AstraZeneca,INDUSTRY,13078,2,684,22,2014-10-30,2020-05-27,True,13078,172,12906,98.7,Study terminated by sponsor (11755); Death (693); Other reasons (263); Withdrawal by Subject (189); Lost to Follow-up (5); Protocol Violation (1),Study terminated by sponsor,11755.0,1
NCT01102426,Aplidin - Dexamethasone in Relapsed/Refractory Myeloma,cardiovascular disease,Relapsed/Refractory Multiple Myeloma,PharmaMar,INDUSTRY,255,2,82,19,2010-06,2017-11,True,255,9,246,96.5,Progressive Disease (129); Patient Refusal (36); Death (non-related to the study (27); Adverse Events (treatment-related) (23); Physician Decision (15); Adverse Events (unrelated to (10); Randomized but not treated (5); Death (due to adverse events (1),Progressive Disease,129.0,1
NCT01311687,"A Phase 3, Multicenter, Randomized, Open-Label Study to Compare the Efficacy and Safety of Pomalidomide in Combination With Low-Dose Dexamethasone Versus High-Dose Dexamethasone in Subjects With Refractory Multiple Myeloma or Relapsed and Refractory Multiple Myeloma and Companion Study",cardiovascular disease,Multiple Myeloma,Celgene,INDUSTRY,455,2,94,16,2011-03-11,2017-08-29,True,455,19,0,95.8,,,,2
NCT00855465,A Study to Evaluate Efficacy and Safety of Oral BAY63-2521 in Patients With CTEPH.,cardiovascular disease,Pulmonary Hypertension,Bayer,INDUSTRY,262,2,89,26,2009-02-23,2012-06-27,True,262,11,29,95.8,Adverse Event (7); Withdrawal by Subject (6); Death (5); Lack of Efficacy (3); Lost to Follow-up (3); Protocol Violation (2); Non-compliance (1); Not treated (1); Missing (1),Adverse Event,7.0,2
NCT01968967,Randomized Clinical Trial of Bococizumab (PF-04950615; RN316) in Subjects With Hyperlipidemia or Mixed Dyslipidemia at Risk of Cardiovascular Events,cardiovascular disease,Hyperlipidemia,Pfizer,INDUSTRY,2139,2,249,12,2013-10-29,2017-07-10,True,2139,98,287,95.4,Withdrawal by Subject (132); Lost to Follow-up (57); Other (44); Adverse Event (17); Death (11); Randomized Not Treated (11); Withdrew Consent (7); Did Not Meet Entrance Criteria (5); Protocol Violation (3),Withdrawal by Subject,132.0,2
NCT00773747,"Study of Vorinostat (MK-0683) or Placebo, in Combination With Bortezomib in Participants With Multiple Myeloma (MK-0683-088 AMN)",cardiovascular disease,Multiple Myeloma,Merck Sharp & Dohme LLC,INDUSTRY,637,2,0,0,2008-12-01,2015-06-30,True,637,44,593,93.1,Lack of Efficacy (256); Withdrawal by Subject (150); Adverse Event (123); Physician Decision (44); Death (13); Protocol Violation (4); Not Treated (2); Lost to Follow-up (1),Lack of Efficacy,256.0,1
NCT00810693,A Study to Evaluate Efficacy and Safety of Oral BAY63-2521 in Patients With Pulmonary Arterial Hypertension (PAH),cardiovascular disease,Pulmonary Hypertension,Bayer,INDUSTRY,445,3,122,30,2008-12-17,2012-05-14,True,445,31,55,93.0,Adverse Event (21); Withdrawal by Subject (14); Death (6); Protocol Violation (6); Lost to Follow-up (4); Not treated (2); Lack of Efficacy (1); Non-compliance (1),Adverse Event,21.0,2
NCT01327846,Cardiovascular Risk Reduction Study (Reduction in Recurrent Major CV Disease Events),cardiovascular disease,Atherosclerosis,Novartis Pharmaceuticals,INDUSTRY,10066,4,1131,40,2011-04-11,2019-04-14,True,10061,736,5160,92.7,Study terminated by sponsor (4924); Withdrawal by Subject (89); Subject decision (vital stat: alive) (80); Lost to Follow-up (33); Subject decision (vital stat: dead) (12); Technical Problems (10); Subject decision (vital status: missing) (6); Subject decision (vital stat: unkn) (6),Study terminated by sponsor,4924.0,2
NCT01568866,Phase 3 Study With Carfilzomib and Dexamethasone Versus Bortezomib and Dexamethasone for Relapsed Multiple Myeloma Patients,cardiovascular disease,Multiple Myeloma,Amgen,INDUSTRY,929,2,241,27,2012-06-20,2018-02-05,True,929,75,854,91.9,Disease Progression (391); Adverse Event (190); Patient Request (126); Physician Decision (72); Withdrawal by Subject (30); Death (28); Randomized but Not Dosed (10); Protocol Non-compliance (6); Lost to Follow-up (1),Disease Progression,391.0,1
NCT00097981,A Study of Thalidomide Plus Dexamethasone (Thal-Dex) Versus DOXIL plusThalidomide Plus Dexamethasone (DOXIL -Thal-Dex) in Patients With Newly Diagnosed Multiple Myeloma,cardiovascular disease,Multiple Myeloma,"Johnson & Johnson Pharmaceutical Research & Development, L.L.C.",INDUSTRY,225,2,58,1,2005-01,2009-10,True,225,19,206,91.6,Adverse Event (75); Transplant planned (55); Other (32); Withdrawal by Subject (18); Disease Progression (10); Physician Decision (8); Death (6); Protocol Violation (2),Adverse Event,75.0,1
NCT03988634,"Changes in NT-proBNP, Safety, and Tolerability in HFpEF Patients With a WHF Event (HFpEF Decompensation) Who Have Been Stabilized and Initiated at the Time of or Within 30 Days Post-decompensation (PARAGLIDE-HF)",heart failure,Heart Failure With Preserved Ejection Fraction (HFpEF),Novartis Pharmaceuticals,INDUSTRY,467,2,97,2,2019-06-29,2022-12-14,True,467,41,121,91.2,Death (44); Subject decision (37); Physician Decision (15); Lost to Follow-up (13); Adverse Event (11); Technical problems (1),Death,44.0,2
NCT04072835,Safety Study of Etripamil Nasal Spray for Patients With Paroxysmal Supraventricular Tachycardia. NODE-303,cardiovascular disease,Paroxysmal Supraventricular Tachycardia,Milestone Pharmaceuticals Inc.,OTHER,1116,2,124,5,2019-09-23,2023-01-26,True,1116,103,1013,90.8,Overall trial ended (603); Ablation (97); Withdrawal of consent (66); Physician Decision (50); Lost to Follow-up (39); Participant no longer meets the inclusion/exclusion criteria (38); Participant wanted to try other therapy or treatment (34); Adverse Event (25); Participant non-compliance / Protocol violation(s) (25); Death (11); Participant felt the drug did not work (8); Participant tolerability (5); Missing (5); Participant withdrawn due to COVID-19 situation (4); Pregnancy (3),Overall trial ended,603.0,1
NCT00732641,Peginterferon α-2b as a Maintenance Therapy in Participants With Multiple Myeloma Who Responded to Induction Therapy (P01972-AM7),cardiovascular disease,Multiple Myeloma,Merck Sharp & Dohme LLC,INDUSTRY,244,2,0,0,2000-12,2010-11,True,244,26,218,89.3,Relapse or Progressive Disease (166); Other (23); Serious Adverse Events (15); Physician Decision (6); Withdrawal by Subject (6); Unable to Complete (2),Relapse or Progressive Disease,166.0,1
