trial_id,scraped_at,extractor_version,has_participant_flow,dropout_rate_pct,started_n,completed_n,recency_decay,missing_enrollment,parse_warning
NCT03242252,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,11.6,787,696,0.579829,False,
NCT01798706,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,12.0,350,308,0.384821,False,
NCT01621178,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,16.8,577,480,0.451053,False,
NCT00683878,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,12.6,420,367,0.256675,False,
NCT01215097,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,8.5,305,279,0.300923,False,
NCT00494013,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,14.9,442,376,0.220602,False,
NCT00359762,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,100.0,1029,0,0.273859,False,
NCT03689374,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,26.1,2274,1681,0.650733,False,
NCT01850615,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,5.9,236,222,0.377941,False,
NCT02547935,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,4.0,448,430,0.511889,False,
NCT01087502,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,23.2,241,185,1.0,False,
NCT05362058,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,5.2,928,880,0.853566,False,
NCT00449930,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,13.0,1050,914,0.218621,False,
NCT03952143,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,12.4,628,550,0.645655,False,
NCT03242018,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,16.6,277,231,0.586334,False,
NCT01137474,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,6.8,944,880,0.323595,False,
NCT00734474,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,45.3,1202,657,0.307494,False,
NCT00509262,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,21.0,423,334,0.274836,False,
NCT03136484,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,6.2,788,739,0.534489,False,
NCT00799643,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,18.2,286,234,1.0,False,
NCT00286455,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,23.4,329,252,0.199291,False,
NCT01819129,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,12.0,689,606,0.383909,False,
NCT01128153,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,12.1,257,226,0.279906,False,
NCT00984867,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,8.9,451,411,0.286086,False,
NCT01183013,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,29.2,936,663,0.323595,False,
NCT00789750,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,21.2,562,443,0.307494,False,
NCT03371108,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,9.2,567,515,0.554127,False,
NCT04848480,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,4.6,582,555,0.758938,False,
NCT01147250,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,3.5,6068,5853,0.384821,False,
NCT02099110,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,10.7,1233,1101,0.431264,False,
NCT02906917,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,6.2,532,499,0.49457,False,
NCT02207374,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,3.7,601,579,0.422249,False,
NCT02585778,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,9.3,517,469,0.464417,False,
NCT00968708,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,11.4,5380,4764,0.332945,False,
NCT01894568,2026-02-06T10:52:25.758435,v2_graph_weighted_export,True,5.2,388,368,0.390249,False,
