priority_rank,trial_id,reason,period_title,arm_id,predicted_graph_weight,risk_percentile,risk_tier,action_hint,intervention_plan,queue_date,due_date,owner,status,outreach_channel,followup_outcome,notes
1,NCT04072835,Overall trial ended,Overall Study,FG000,2.408476524575636,1.0,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
2,NCT02104817,Study terminated by sponsor,Overall Study,FG000,2.219005476516797,0.99995558911045,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
3,NCT02104817,Study terminated by sponsor,Overall Study,FG001,2.2159025255285827,0.9999111782208998,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
4,NCT01712789,Progressive Disease,Overall Study,FG000,2.020845865703722,0.9998667673313496,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
5,NCT03472040,"Berotralstat Provided by alternative Means (i.e., Early Access Program or Commercially Available)",Overall Study,FG001,1.8710787007392653,0.9998223564417996,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
6,NCT03868124,Ongoing in study,Overall Study,FG002,1.8242216850988096,0.9997779455522494,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
7,NCT02195479,Death,Overall Study,FG000,1.805735040207539,0.9997335346626992,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
8,NCT02136134,Death,Overall Study,FG000,1.8014580917493848,0.9996891237731492,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
9,NCT03868124,Ongoing in study,Overall Study,FG001,1.7882894971166965,0.999644712883599,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
10,NCT03868124,Ongoing in study,Overall Study,FG000,1.781076335121547,0.9996003019940488,high,Review participant burden and site workflow for targeted retention intervention.,Review participant burden and site workflow for targeted retention intervention.,2026-02-06,2026-02-13,,new,,,
