feature,importance,feature_group
num__base_rate,0.41640024757385574,numeric
num__rate_vs_trial_start,0.38862981478657266,numeric
num__recency_decay,0.1585170743863947,numeric
num__discontinued_n,0.02289562607961605,numeric
num__enrollment_count,0.002163719239855371,numeric
num__completed_n,0.0019094792320190435,numeric
num__total_sites,0.0019007611410440575,numeric
num__size_factor_log1p_started,0.0015537953899670276,numeric
num__started_n,0.0014586845865446568,numeric
num__num_countries,0.0014248930410595108,numeric
cat__period_title_Overall Study,0.0005186634224615907,categorical
cat__search_condition_cardiovascular disease,0.0004422621507573797,categorical
cat__reason_Progressive Disease,0.00034502458027273783,categorical
cat__reason_Death,0.000316126901296783,categorical
cat__arm_id_FG000,0.0002863995828265084,categorical
cat__arm_id_FG001,0.00026296829598741566,categorical
cat__search_condition_heart failure,0.00017514524347876816,categorical
cat__arm_id_FG003,0.00017134785915512058,categorical
cat__period_title_Part 2 Double Blind Epoch,0.00010304767995330867,categorical
cat__reason_Adverse Event,9.707883023688232e-05,categorical
cat__period_title_Treated Participants,8.978045943204022e-05,categorical
cat__reason_End of data collection,5.278663941448608e-05,categorical
cat__reason_Disease progression,3.179046731112604e-05,categorical
cat__search_condition_diabetes type 2,2.5804145040315474e-05,categorical
cat__reason_Withdrawal by Subject,1.7801140596575765e-05,categorical
cat__search_condition_hypertension,1.6434975948981036e-05,categorical
cat__arm_id_FG004,1.5860414352311086e-05,categorical
cat__reason_Disease Progression,1.535339803339925e-05,categorical
cat__reason_Subject withdrawn-to commercial product,1.4082859143634541e-05,categorical
cat__reason_Reason not specified,1.0490585256710678e-05,categorical
cat__reason_Lack of Efficacy,8.975503008117102e-06,categorical
cat__reason_Other,8.84957963099065e-06,categorical
cat__sponsor_class_INDUSTRY,7.65360420137713e-06,categorical
cat__period_title_Initial Treatment Period,7.311337439294137e-06,categorical
cat__search_condition_obesity,6.880437459559943e-06,categorical
cat__reason_Lost to Follow-up,6.609379192557595e-06,categorical
cat__arm_id_FG002,6.336951022924869e-06,categorical
"cat__reason_Patient refusal to continue, not due to adverse event",6.265523943158389e-06,categorical
cat__reason_Study specific discontinuation criteria,6.199236283422814e-06,categorical
cat__period_title_Double-blind Segment 2,5.443891627875356e-06,categorical
cat__reason_Protocol Violation,4.422828607031204e-06,categorical
cat__reason_Abnormal test procedure result(s),4.025949293560303e-06,categorical
cat__reason_Reason not Specified,3.912915476961966e-06,categorical
cat__sponsor_class_NETWORK,3.849083243396079e-06,categorical
cat__period_title_Discontinuation From Treatment,3.0880002370988096e-06,categorical
cat__period_title_Study 306B,2.8351617959264342e-06,categorical
cat__reason_Progression of disease,2.8259879259442476e-06,categorical
cat__period_title_Treatment Period,2.6728593098928654e-06,categorical
cat__sponsor_class_NIH,2.342177348535282e-06,categorical
cat__sponsor_class_OTHER,2.3027980589265877e-06,categorical
cat__period_title_Part 1 Open Label Epoch- Period 1,2.270150995103303e-06,categorical
cat__reason_Relapse or Progressive Disease,1.8926917332130416e-06,categorical
cat__period_title_Active Treatment Phase,1.7923038483834958e-06,categorical
cat__reason_Consent withdrawn by subject,1.7761400631605174e-06,categorical
cat__period_title_Part A (Run-in - 2 Weeks),1.7101506324322483e-06,categorical
cat__reason_Early termination,1.662775841316641e-06,categorical
cat__period_title_Open Label Treatment Phase,1.6091846826667288e-06,categorical
cat__period_title_Treatment,1.4901692039275254e-06,categorical
cat__period_title_Open Label Extension,1.4896253538672811e-06,categorical
