reason,count,bucket,recommended_action
Withdrawal by Subject,1069,,
Adverse Event,835,,
Lost to Follow-up,538,,
Death,323,,
Other,143,,
Lack of Efficacy,133,,
Protocol Violation,131,,
Physician Decision,89,,
Unclassified,61,,
Withdrawal Criteria,26,,
Other than specified above,24,,
Withdrawal criteria,17,,
Subject Withdrew Consent,17,,
Progressive Disease,16,,
Other reasons,16,,
Study terminated by sponsor,14,,
Voluntary Withdrawal,14,,
Disease Progression,13,,
Poor compliance to protocol,13,,
did not continue in extension,13,,
Withdrawal of Consent,12,,
Hyperglycemic Rescue,12,,
Other than specified,12,,
Subject decision,11,,
Reason not Specified,9,,
Withdrew consent,9,,
Disease progression,8,,
Other Reasons,8,,
Subject Decision,8,,
At the Participant's own Request,8,,
Assigned Treatment by Mistake,8,,
did not complete year 4 follow-up,8,,
Progression of disease,7,,
Study specific discontinuation criteria,7,,
Last visit outside protocol visit window,7,,
Unsatisfactory therapeutic effect,7,,
Reason Not Specified,7,,
Participant decision,7,,
Hyperglycemia,7,,
Reason not specified,6,,
Hyperglycemic rescue,6,,
Miscellaneous,6,,
Other reason (not specified),6,,
Voluntary withdrawal,6,,
other,6,,
Consent withdrawn by participant,6,,
Protocol deviation,6,,
Withdrawal of consent by subject,6,,
Reasons other than stated above,6,,
Withdrawal of Consent by Subject,6,,
Sponsor Request,5,,
Decision by sponsor,5,,
"Other, not specified",5,,
Pretreatment Event/Adverse Event,5,,
Administrative problems,5,,
Withdrawal by Parent/Guardian,5,,
At the Participant's Own Request,5,,
Consent withdrawn,5,,
Less than full participation,5,,
Other incl. lack of efficacy,5,,
Other Reason,5,,
Withdrawal by parent/guardian,5,,
Patient withdrew consent,5,,
Other reason (incl. lack of efficacy),5,,
Subject no longer meets study criteria,5,,
End of data collection,4,,
Participants withdrawn due to company goals,4,,
Early termination,4,,
Adverse event unrelated to study drug,4,,
Study drug toxicity,4,,
Ongoing in Period 2,4,,
Other reason not defined above,4,,
Consent withdrawn by subject,4,,
Various,4,,
Participant Withdrew Consent,4,,
Decision by Participant or Proxy,4,,
Did not enter OLC,4,,
Received Rescue Therapy,4,,
Patient/guardian decision,4,,
At the Participant's own request,4,,
Withdrawal by Participant,4,,
Diverse Reasons,4,,
lost to follow-up for all-cause death,4,,
Clinical Adverse Event,4,,
Protocol specified discontinuation,4,,
Non-compliance issues,4,,
Noncompliance,4,,
Other - as reported by the investigator,4,,
Ongoing in study,3,,
Run-in failure,3,,
Technical Problems,3,,
>=1 reason assigned per patient,3,,
Entry criteria not met,3,,
Administrative discont. at study termination,3,,
Continue in Long Term Follow Up,3,,
Withdrawal of consent,3,,
Patient Request,3,,
Participants Excluded Due to GCP Compliance Issue,3,,
Pregnancy,3,,
Reversible ischemic defect not present,3,,
Participant Decision,3,,
Other reason,3,,
Participant moved to open-label extension (OLE) study,3,,
Withdrew Consent,3,,
No 9-Month Angiography Performed,3,,
Study Close Out,3,,
Other reason not described above,3,,
Non-Compliance with Study Drug,3,,
Only one reason for discontinuation,3,,
Refused to continue trial medication,3,,
protocol specific treatment unrelated,3,,
"Refusal to continue, not due to AE",3,,
Any other reason,3,,
Other than those specified,3,,
"Patient refusal to continue,not due toAE",3,,
Study-specific discontinuation criteria,3,,
Hyperglycemia rescue,3,,
Familial and Personal Reasons,3,,
Participant withdrew consent,3,,
Patient declined further treatment,3,,
Subject No Longer Meets Study Criteria,3,,
Clinical endpoint reached,3,,
Other Adverse Event (AE),3,,
Participant request,3,,
Subject Non-compliance,3,,
Withrawal of the consent by the subject,3,,
Blood Pressure/Potassium Criteria Met,3,,
Subjects Did Not Complete Week 36,3,,
"Withdrawal of Consent,Protocol Deviation",3,,
Potassium Withdrawal Criteria Met,3,,
"Sponsor Decision, Arm Discontinued",3,,
Randomized but not treated,3,,
Poor Compliance to Protocol,3,,
